alpha3,belief_cc_mean,belief_cc_std,policy_support_mean,policy_support_std,wept_mean,wept_std,share_social_media_mean,share_social_media_entropy,alpha2,country_standard,country,best_intv_belief_cc,best_intv_policy_support,best_intv_share_social_media,best_intv_wept,belief_cc_mean_rank,belief_cc_std_rank,policy_support_mean_rank,policy_support_std_rank,wept_mean_rank,wept_std_rank,share_social_media_mean_rank,share_social_media_entropy_rank
TUR,76.757670991448,38.6173684934194,100,51.8136306674304,82.4709502888772,81.7075247887388,41.0662327779785,99.8918916833526,TR,Türkiye,turkey,DynamicNorm,BindingMoral,NegativeEmotions,SciConsens,5,50,1,43,21,39,40,2
TWN,42.5095753181261,9.52679971521999,88.8300987491644,0,0,0,92.2849675127464,29.8225897893249,TW,"Taiwan, Province of China",taiwan,BindingMoral,Identity-Social-Norms-Intervention,DynamicNorm,FutureSelfCont,35,62,5,63,63,63,6,58
TZA,71.9387402196972,42.6049208755102,62.3735021372624,69.8806738946341,59.1718729610202,86.1722234844621,85.1568916056792,50.7494114124994,TZ,"Tanzania, United Republic of",tanzania,DynamicNorm,SystemJust,BindingMoral,DynamicNorm,10,46,28,15,52,25,9,53
UGA,77.1852861164278,24.6997626280522,97.6231711257633,57.7517945217521,77.0601821055535,74.1904039275607,97.7925682590308,9.51103321986123,UG,Uganda,uganda,PsychDistance,DynamicNorm,DynamicNorm,CollectAction,4,58,2,30,31,50,2,62
UKR,50.509923180577,60.91257177369,80.7308243320895,40.3502747714749,70.847812474526,75.2243637253593,21.2429299795163,86.8119208956475,UA,Ukraine,ukraine,Letter2Future,Letter2Future,Identity-Social-Norms-Intervention,FutureSelfCont,30,33,13,58,36,45,48,24
URY,71.0889021018709,40.1963475874973,80.8716700538192,41.1179821031564,78.1609009278459,85.9354250563232,66.5142315410418,85.8372359915298,UY,Uruguay,uruguay,FutureSelfCont,FutureSelfCont,NegativeEmotions,FutureSelfCont,13,49,12,57,27,27,24,27
USA,8.01052813508376,96.6898937094378,30.8041194877482,100,73.8439171837576,95.1421098391528,57.1095223336781,95.1431705426893,US,United States,usa,PsychDistance,Letter2Future,Letter2Future,DynamicNorm,60,2,55,1,34,6,33,9
VEN,58.6138751831157,76.7080218830234,83.87008245469,72.4464438925638,96.2973602920796,56.997556132398,65.1739095756103,87.475093086633,VE,"Venezuela, Bolivarian Republic of",venezuela,BindingMoral,FutureSelfCont,Letter2Future,SystemJust,26,13,9,13,4,61,26,22
VNM,71.6638446982229,35.7083212938329,77.4487616408909,53.5834828853413,70.0581601616958,84.7136901556805,82.6036169140471,57.0776999826962,VN,Viet Nam,vietnam,FutureSelfCont,FutureSelfCont,CollectAction,Control,11,52,16,39,39,29,14,45
ZAF,59.7491548895515,55.2178586667622,63.6585496985811,61.24903773721,73.5699065099284,94.1826723281529,78.7427937451326,65.6407186918375,ZA,South Africa,southafrica,CollectAction,CollectAction,CollectAction,SciConsens,24,35,27,27,35,9,19,40
