share_sm,age,gender,education_level,income_level,cond,ResponseId,country,finished,condName,belief_in_cc,policy_support,wept,country_standard,alpha2,alpha3,share_sm_jittered
1.0,74.0,2.0,3.0,5.0,10,R_3HLVjLXLaVSQfLT,usa,1,DynamicNorm,100.0,100.0,8.0,United States,US,USA,1.0765897472228416
1.0,45.0,1.0,4.0,6.0,2,R_6zAe4lppmzcy4lb,usa,1,Identity-Social-Norms-Intervention,91.25,88.88888888888889,1.0,United States,US,USA,0.9094247508916844
0.0,60.0,1.0,3.0,4.0,3,R_3oNJfCGNQliFrxW,usa,1,NegativeEmotions,5.75,47.22222222222222,0.0,United States,US,USA,-0.1475322343867122
1.0,26.0,4.0,3.0,4.0,6,R_XFmzCnJp4gIBEMF,usa,1,SystemJust,96.5,93.0,4.0,United States,US,USA,0.8553545922762202
0.0,31.0,1.0,3.0,8.0,10,R_1dhvSNeIiNVuNrD,usa,1,DynamicNorm,14.25,41.888888888888886,1.0,United States,US,USA,-0.06066945784062221
0.0,29.0,2.0,3.0,5.0,8,R_12fLlS99SVgs0Xr,usa,1,PluralIgnorance,99.5,87.44444444444444,1.0,United States,US,USA,-0.07633710926952926
1.0,36.0,1.0,3.0,5.0,12,R_0J9dKnxGqPuPDDb,usa,1,BindingMoral,28.25,33.55555555555556,1.0,United States,US,USA,0.8283174365572843
1.0,29.0,1.0,2.0,4.0,5,R_23a7sci1FxXy9aW,usa,1,CollectAction,75.75,55.44444444444444,0.0,United States,US,USA,0.8066604868937424
,22.0,4.0,2.0,1.0,12,R_2AR798deSOyraGt,usa,1,BindingMoral,92.0,76.77777777777777,0.0,United States,US,USA,
1.0,46.0,1.0,4.0,6.0,9,R_SOec5sF52Sb2Po5,usa,1,Letter2Future,86.75,84.0,8.0,United States,US,USA,1.0089303990328
1.0,45.0,2.0,3.0,4.0,8,R_2y8eYsM736t2Uaa,usa,1,PluralIgnorance,69.0,50.44444444444444,2.0,United States,US,USA,0.9892233731173169
,27.0,2.0,2.0,1.0,9,R_2TnmXhdqvXuomkw,usa,1,Letter2Future,90.75,47.44444444444444,2.0,United States,US,USA,
0.0,34.0,2.0,3.0,4.0,1,R_qPle3cnp3ceEN5D,usa,1,Control,94.0,80.11111111111111,0.0,United States,US,USA,0.188362822865915
1.0,22.0,2.0,2.0,3.0,2,R_1PdUzxxVWExJkCo,usa,1,Identity-Social-Norms-Intervention,57.5,45.44444444444444,8.0,United States,US,USA,1.2290568280033316
,55.0,1.0,3.0,3.0,12,R_3DkmlZe7KArpU9V,usa,1,BindingMoral,22.0,21.55555555555556,0.0,United States,US,USA,
1.0,44.0,1.0,3.0,5.0,7,R_1OkJDZB0o1RjU4u,usa,1,PsychDistance,100.0,100.0,2.0,United States,US,USA,1.0767626244121224
,61.0,2.0,3.0,5.0,10,R_2zbEiCBDcEIWpfg,usa,1,DynamicNorm,94.5,76.55555555555556,8.0,United States,US,USA,
1.0,59.0,1.0,3.0,5.0,3,R_viVjmsScCPmSav7,usa,1,NegativeEmotions,93.75,91.33333333333331,8.0,United States,US,USA,0.9837681536282785
,39.0,1.0,2.0,5.0,3,R_yDzzJeA8QAjoGsx,usa,1,NegativeEmotions,67.25,56.888888888888886,2.0,United States,US,USA,
1.0,20.0,2.0,2.0,4.0,11,R_6KHQUlVWxi8s2k1,usa,1,FutureSelfCont,85.75,84.88888888888889,2.0,United States,US,USA,0.8922131269461968
1.0,26.0,1.0,2.0,4.0,6,R_2tyhyDqX3fUYn7t,usa,1,SystemJust,68.0,70.55555555555556,2.0,United States,US,USA,0.7033691086572454
1.0,56.0,1.0,3.0,5.0,9,R_1i9cFpoSVwBvdNC,usa,1,Letter2Future,68.75,71.55555555555556,3.0,United States,US,USA,1.000403719407552
0.0,33.0,1.0,2.0,8.0,10,R_Y4yrsQWrCh21Zvj,usa,1,DynamicNorm,52.75,34.22222222222222,8.0,United States,US,USA,-0.10020350110998058
,69.0,2.0,3.0,4.0,5,R_3EQDgLYCn4map4I,usa,1,CollectAction,99.0,81.88888888888889,0.0,United States,US,USA,
,52.0,2.0,3.0,5.0,5,R_2Vsfa7dfRQhcpTO,usa,1,CollectAction,47.5,26.666666666666668,5.0,United States,US,USA,
,19.0,2.0,2.0,4.0,10,R_1OjylTuVRCbhlqW,usa,1,DynamicNorm,81.0,85.22222222222223,3.0,United States,US,USA,
1.0,42.0,1.0,4.0,8.0,1,R_ZqaUaJxrm1YPuVP,usa,1,Control,100.0,100.0,8.0,United States,US,USA,0.8473553733015077
1.0,69.0,2.0,3.0,4.0,4,R_2X69ZzJYk401Udw,usa,1,SciConsens,99.5,89.0,4.0,United States,US,USA,0.9860279697021112
,25.0,2.0,2.0,4.0,6,R_3fDg3ePkrO1SDay,usa,1,SystemJust,100.0,76.77777777777777,8.0,United States,US,USA,
1.0,29.0,2.0,2.0,1.0,3,R_XM3Z30m3JktHZwl,usa,1,NegativeEmotions,91.5,89.55555555555556,2.0,United States,US,USA,0.6721146709316266
1.0,37.0,1.0,3.0,6.0,2,R_3O9ClPJyNCVW6QG,usa,1,Identity-Social-Norms-Intervention,89.5,89.22222222222223,8.0,United States,US,USA,0.926427431055177
,40.0,1.0,2.0,1.0,5,R_3EXc1zThmYh9TGt,usa,1,CollectAction,59.0,52.11111111111112,2.0,United States,US,USA,
,37.0,2.0,3.0,3.0,12,R_2XcUG9pyRxqz2dQ,usa,1,BindingMoral,27.0,35.111111111111114,8.0,United States,US,USA,
1.0,26.0,1.0,3.0,4.0,11,R_8et7CkxusiY544x,usa,1,FutureSelfCont,74.5,75.0,2.0,United States,US,USA,0.7723069540850491
,74.0,1.0,2.0,4.0,1,R_2qwyjjjnYxx7RIR,usa,1,Control,100.0,51.11111111111112,8.0,United States,US,USA,
,70.0,2.0,4.0,4.0,7,R_1RpavwyDcrceI5H,usa,1,PsychDistance,35.5,45.22222222222222,8.0,United States,US,USA,
1.0,32.0,1.0,3.0,8.0,8,R_9uvQy3NAnzfRieJ,usa,1,PluralIgnorance,85.0,73.88888888888889,8.0,United States,US,USA,0.8109789293475002
1.0,45.0,1.0,4.0,6.0,5,R_2vesTunsckvaOrs,usa,1,CollectAction,100.0,98.33333333333331,0.0,United States,US,USA,0.9442199684507305
1.0,37.0,1.0,2.0,8.0,4,R_3lXKu6q9NJK4lta,usa,1,SciConsens,100.0,100.0,0.0,United States,US,USA,0.7110553207439362
,29.0,2.0,2.0,1.0,10,R_xyfiXF6NUlD2MXT,usa,1,DynamicNorm,75.25,75.4,8.0,United States,US,USA,
,62.0,2.0,2.0,1.0,7,R_1SrbKTU0QlkAw6d,usa,1,PsychDistance,92.25,69.55555555555556,0.0,United States,US,USA,
1.0,69.0,1.0,3.0,3.0,1,R_1oBT111QKCXus0P,usa,1,Control,78.75,81.11111111111111,8.0,United States,US,USA,0.923956371074041
0.0,42.0,2.0,3.0,5.0,3,R_3kh8T1Y9um3alBQ,usa,1,NegativeEmotions,40.25,33.666666666666664,8.0,United States,US,USA,-0.04371859078996387
,32.0,2.0,2.0,3.0,8,R_27BBtqdm0O3tzlm,usa,1,PluralIgnorance,87.5,86.66666666666667,1.0,United States,US,USA,
,24.0,1.0,2.0,9.0,5,R_3q7eR9RhvLq6nZE,usa,1,CollectAction,75.0,28.571428571428573,8.0,United States,US,USA,
,46.0,2.0,2.0,1.0,4,R_A5RflahRJE6IHBv,usa,1,SciConsens,48.75,46.0,8.0,United States,US,USA,
1.0,35.0,1.0,4.0,7.0,11,R_VKHwZVMkdntksz7,usa,1,FutureSelfCont,60.0,40.55555555555556,2.0,United States,US,USA,1.1748100878705237
1.0,29.0,2.0,3.0,3.0,2,R_25syGGiSGLTqJdp,usa,1,Identity-Social-Norms-Intervention,55.25,56.11111111111112,8.0,United States,US,USA,1.1159153950267948
0.0,44.0,2.0,2.0,4.0,12,R_1M0pUA2yToKYGdx,usa,1,BindingMoral,77.5,50.0,8.0,United States,US,USA,0.02457453121946147
1.0,41.0,2.0,2.0,3.0,1,R_2rA8FrYQhsZt1oq,usa,1,Control,87.0,60.25,1.0,United States,US,USA,0.8598586284854799
0.0,61.0,2.0,2.0,3.0,2,R_1hWpp2aFmABtRTc,usa,1,Identity-Social-Norms-Intervention,64.0,40.333333333333336,8.0,United States,US,USA,0.16791535888588485
,54.0,2.0,2.0,3.0,10,R_Y6sJhBuoudgGAXn,usa,1,DynamicNorm,60.5,61.11111111111112,8.0,United States,US,USA,
1.0,34.0,1.0,4.0,5.0,11,R_w5esQrdjXXUqd7b,usa,1,FutureSelfCont,57.0,44.0,2.0,United States,US,USA,1.0484434444460617
,20.0,2.0,2.0,1.0,7,R_2qwpfvycdm0N6Gw,usa,1,PsychDistance,60.75,67.0,0.0,United States,US,USA,
